
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      7,672 K
Secure System                  172 Services                   0     74,784 K
Registry                       216 Services                   0     57,664 K
smss.exe                       808 Services                   0      1,112 K
csrss.exe                     1296 Services                   0      5,284 K
wininit.exe                   1420 Services                   0      5,372 K
csrss.exe                     1440 Console                    1      7,520 K
services.exe                  1492 Services                   0     14,360 K
LsaIso.exe                    1512 Services                   0      3,744 K
lsass.exe                     1520 Services                   0     32,736 K
winlogon.exe                  1600 Console                    1     13,284 K
svchost.exe                   1728 Services                   0     33,424 K
fontdrvhost.exe               1744 Services                   0      4,844 K
fontdrvhost.exe               1756 Console                    1      6,392 K
WUDFHost.exe                  1856 Services                   0      9,456 K
svchost.exe                   1892 Services                   0     19,792 K
svchost.exe                   1956 Services                   0      8,112 K
dwm.exe                       1036 Console                    1    581,592 K
svchost.exe                   1076 Services                   0      8,272 K
svchost.exe                   1072 Services                   0      4,876 K
svchost.exe                   1444 Services                   0      9,288 K
svchost.exe                   1412 Services                   0     10,720 K
svchost.exe                   1284 Services                   0     10,988 K
svchost.exe                   1536 Services                   0     14,080 K
svchost.exe                   2160 Services                   0      9,448 K
svchost.exe                   2168 Services                   0      9,864 K
svchost.exe                   2176 Services                   0      9,244 K
svchost.exe                   2248 Services                   0     10,060 K
IntelCpHDCPSvc.exe            2380 Services                   0      4,904 K
svchost.exe                   2440 Services                   0     11,008 K
svchost.exe                   2460 Services                   0      8,864 K
svchost.exe                   2484 Services                   0      5,932 K
svchost.exe                   2540 Services                   0      5,296 K
svchost.exe                   2576 Services                   0      7,812 K
svchost.exe                   2592 Services                   0     17,144 K
WUDFHost.exe                  2676 Services                   0      6,536 K
svchost.exe                   2684 Services                   0      7,728 K
svchost.exe                   2836 Services                   0     11,456 K
svchost.exe                   2880 Services                   0      6,352 K
svchost.exe                   2968 Services                   0      7,292 K
svchost.exe                   3092 Services                   0      7,248 K
svchost.exe                   3112 Services                   0     13,580 K
svchost.exe                   3196 Services                   0      8,472 K
igfxCUIServiceN.exe           3224 Services                   0     10,340 K
svchost.exe                   3472 Services                   0      5,976 K
svchost.exe                   3504 Services                   0     29,148 K
vmms.exe                      3716 Services                   0     31,792 K
svchost.exe                   3792 Services                   0      9,276 K
svchost.exe                   3800 Services                   0     11,088 K
WUDFHost.exe                  3916 Services                   0      9,436 K
NVDisplay.Container.exe       3988 Services                   0     16,800 K
svchost.exe                   4012 Services                   0      9,820 K
svchost.exe                   4072 Services                   0     17,472 K
svchost.exe                   3108 Services                   0      6,320 K
svchost.exe                   3276 Services                   0     12,004 K
svchost.exe                   3280 Services                   0      5,364 K
svchost.exe                   3912 Services                   0     21,388 K
svchost.exe                   2028 Services                   0      9,628 K
svchost.exe                   3324 Services                   0      8,772 K
Memory Compression            4136 Services                   0  2,540,136 K
svchost.exe                   4220 Services                   0     15,288 K
NVDisplay.Container.exe       4396 Console                    1     53,540 K
svchost.exe                   4460 Services                   0      8,528 K
svchost.exe                   4600 Services                   0     12,752 K
svchost.exe                   4676 Services                   0     15,780 K
svchost.exe                   4728 Services                   0      6,420 K
svchost.exe                   4764 Services                   0     19,460 K
svchost.exe                   4840 Services                   0     12,052 K
svchost.exe                   4904 Services                   0      9,336 K
svchost.exe                   4920 Services                   0     17,092 K
spoolsv.exe                   5052 Services                   0     14,100 K
svchost.exe                   5224 Services                   0      7,360 K
svchost.exe                   5296 Services                   0      8,264 K
BTErgoMouseNotificationSe     5304 Services                   0      6,140 K
armsvc.exe                    5320 Services                   0      5,944 K
svchost.exe                   5328 Services                   0      5,120 K
horizon_client_service.ex     5364 Services                   0     12,320 K
OfficeClickToRun.exe          5380 Services                   0     31,436 K
wlanext.exe                   5440 Services                   0      6,092 K
svchost.exe                   5448 Services                   0     15,628 K
DesignerCompactKeyboardNo     5468 Services                   0      6,528 K
svchost.exe                   5492 Services                   0     36,616 K
svchost.exe                   5504 Services                   0     56,192 K
conhost.exe                   5520 Services                   0      4,764 K
Service.exe                   5536 Services                   0     22,116 K
